Feat0.0,Feat0.1,Feat0.2,Feat0.3,Feat1.0,Feat1.1,Feat1.2,Feat1.3,Feat2.2,Feat2.3,Feat2.4,Feat2.56,Feat3.2,Feat3.4,Feat3.5,Feat4.0,Feat4.1,Feat4.2,Feat5.0,target
0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0.0
0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0.0
0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0.0
0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0.0
0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0.0
0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0.0
0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0.0
0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0.0
0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0.0
0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0.0
0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0.0
0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0.0
0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0.0
0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0.0
0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0.0
0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0.0
0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0.0
0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0.0
0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0.0
0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0.0
0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0.0
0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0.0
0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0.0
0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0.0
0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0.0
0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0.0
0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0.0
0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0.0
0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0.0
0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0.0
0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0.0
